order_id,signal_time,entry_time,exit_time,side,strike,entry_price,exit_price,quantity,initial_sl,sl,tp1,tp1_hit,exit_reason,pnl_points,pnl_inr,status
d029be50,2025-11-18 09:30:00+05:30,2025-11-18 09:30:00+05:30,2025-11-18 10:50:00+05:30,BUY_PE,25950,46.5,67.35,75,21.03,21.03,56.5,True,MACD/EMA Exit,20.85,1563.75,CLOSED
377eeafd,2025-11-18 11:25:00+05:30,2025-11-18 11:25:00+05:30,2025-11-18 11:40:00+05:30,BUY_PE,25950,55.5,36.66,75,36.66,36.66,65.5,False,SL Hit,-18.84,-1413.0,CLOSED
373319dc,2025-11-18 11:45:00+05:30,2025-11-18 11:45:00+05:30,2025-11-18 12:20:00+05:30,BUY_CE,25950,61.6,39.97,75,39.97,39.97,71.6,False,SL Hit,-21.63,-1622.25,CLOSED
b7acd194,2025-11-18 13:10:00+05:30,2025-11-18 13:10:00+05:30,2025-11-18 14:25:00+05:30,BUY_CE,25950,35.1,29.4,75,17.57,17.57,45.1,True,MACD/EMA Exit,-5.7,-427.5,CLOSED
46e75c76,2025-11-19 09:30:00+05:30,2025-11-19 09:30:00+05:30,2025-11-19 10:10:00+05:30,BUY_PE,25850,117.8,91.13,75,91.13,91.13,127.8,False,SL Hit,-26.67,-2000.25,CLOSED
7403291c,2025-11-19 10:15:00+05:30,2025-11-19 10:15:00+05:30,2025-11-19 11:05:00+05:30,BUY_CE,25850,230.0,203.33,75,203.33,203.33,240.0,False,SL Hit,-26.67,-2000.25,CLOSED
9f5fbdc5,2025-11-19 11:30:00+05:30,2025-11-19 11:30:00+05:30,2025-11-19 13:15:00+05:30,BUY_CE,25850,212.55,270.45,75,191.16,191.16,222.55,True,MACD/EMA Exit,57.9,4342.5,CLOSED
b4f84015,2025-11-19 13:55:00+05:30,2025-11-19 13:55:00+05:30,2025-11-19 14:05:00+05:30,BUY_CE,25850,265.9,271.15,75,241.5,241.5,275.9,True,MACD/EMA Exit,5.25,393.75,CLOSED
06773479,2025-11-19 14:15:00+05:30,2025-11-19 14:15:00+05:30,2025-11-19 15:15:00+05:30,BUY_CE,25850,289.6,281.8,75,263.77,263.77,299.6,True,MACD/EMA Exit,-7.8,-585.0,CLOSED
0793c5a9,2025-11-20 09:30:00+05:30,2025-11-20 09:30:00+05:30,2025-11-20 11:15:00+05:30,BUY_CE,26100,141.2,147.0,75,114.53,114.53,151.2,True,MACD/EMA Exit,5.8,435.0,CLOSED
fc0e5a16,2025-11-20 11:20:00+05:30,2025-11-20 11:20:00+05:30,2025-11-20 12:20:00+05:30,BUY_CE,26100,153.35,163.8,75,137.12,137.12,163.35,True,MACD/EMA Exit,10.45,783.75,CLOSED
ba4e24f8,2025-11-20 12:25:00+05:30,2025-11-20 12:25:00+05:30,2025-11-20 14:25:00+05:30,BUY_CE,26100,170.0,204.6,75,153.36,153.36,180.0,True,MACD/EMA Exit,34.6,2595.0,CLOSED
